date,rate,day
2025-05-21,85.53610229492188,115
2025-05-22,85.60030364990234,116
2025-05-23,85.97489929199219,117
2025-05-26,85.19930267333984,118
2025-05-27,85.158203125,119
2025-05-28,85.3604965209961,120
2025-05-29,85.38590240478516,121
2025-05-30,85.36129760742188,122
2025-06-02,85.52429962158203,123
2025-06-03,85.36370086669922,124
2025-06-04,85.70880126953125,125
2025-06-05,85.9041976928711,126
2025-06-06,85.87750244140625,127
2025-06-09,85.7853012084961,128
2025-06-10,85.75599670410156,129
2025-06-11,85.65280151367188,130
2025-06-12,85.46980285644531,131
2025-06-13,85.68840026855469,132
2025-06-16,86.24919891357422,133
2025-06-17,86.10420227050781,134
2025-06-18,86.36270141601562,135
2025-06-19,86.61360168457031,136
2025-06-20,86.58380126953125,137
2025-06-23,86.5802993774414,138
2025-06-24,86.23300170898438,139
2025-06-25,85.90480041503906,140
2025-06-26,86.006103515625,141
2025-06-27,85.66639709472656,142
2025-06-30,85.4552993774414,143
2025-07-01,85.71399688720703,144
2025-07-02,85.6427993774414,145
2025-07-03,85.69409942626953,146
2025-07-04,85.31909942626953,147
2025-07-07,85.49629974365234,148
2025-07-08,85.89199829101562,149
2025-07-09,85.7073974609375,150
2025-07-10,85.70850372314453,151
2025-07-11,85.73480224609375,152
2025-07-14,85.82129669189453,153
2025-07-15,85.96839904785156,154
2025-07-16,85.99310302734375,155
2025-07-17,85.88520050048828,156
2025-07-18,86.04650115966797,157
2025-07-21,86.14859771728516,158
2025-07-22,86.19529724121094,159
2025-07-23,86.3427963256836,160
2025-07-24,86.39869689941406,161
2025-07-25,86.4302978515625,162
2025-07-28,86.506103515625,163
2025-07-29,86.77760314941406,164
2025-07-30,87.06320190429688,165
2025-07-31,87.714599609375,166
2025-08-01,87.4894027709961,167
2025-08-04,87.24530029296875,168
2025-08-05,87.89330291748047,169
2025-08-06,87.72309875488281,170
2025-08-07,87.76249694824219,171
2025-08-08,87.43319702148438,172
2025-08-11,87.48829650878906,173
2025-08-12,87.66449737548828,174
2025-08-13,87.59559631347656,175
2025-08-14,87.44999694824219,176
2025-08-15,87.69180297851562,177
2025-08-18,87.51280212402344,178
2025-08-19,87.29509735107422,179
2025-08-20,87.0791015625,180
2025-08-21,87.01820373535156,181
2025-08-22,87.29340362548828,182
2025-08-25,87.3301010131836,183
2025-08-26,87.60859680175781,184
2025-08-27,87.60070037841797,185
2025-08-28,87.65910339355469,186
2025-08-29,87.5916976928711,187
2025-09-01,88.17430114746094,188
2025-09-02,88.00140380859375,189
2025-09-03,87.99829864501953,190
2025-09-04,88.072998046875,191
2025-09-05,88.19290161132812,192
2025-09-08,88.1863021850586,193
2025-09-09,87.98049926757812,194
2025-09-10,88.21829986572266,195
2025-09-11,88.05339813232422,196
2025-09-12,88.2676010131836,197
2025-09-15,88.27729797363281,198
2025-09-16,88.12349700927734,199
2025-09-17,87.88459777832031,200
2025-09-18,87.91069793701172,201
2025-09-19,88.20690155029297,202
2025-09-22,88.09919738769531,203
2025-09-23,88.30439758300781,204
2025-09-24,88.80799865722656,205
2025-09-25,88.77860260009766,206
2025-09-26,88.77310180664062,207
2025-09-29,88.67680358886719,208
2025-09-30,88.70449829101562,209
2025-10-01,88.8406982421875,210
2025-10-02,88.68299865722656,211
2025-10-03,88.72019958496094,212
2025-10-06,88.73509979248047,213
2025-10-07,88.72109985351562,214
2025-10-08,88.74259948730469,215
2025-10-09,88.7771987915039,216
2025-10-10,88.86540222167969,217
2025-10-13,88.7573013305664,218
2025-10-14,88.66510009765625,219
2025-10-15,88.78250122070312,220
2025-10-16,87.80950164794922,221
2025-10-17,87.9906997680664,222
2025-10-20,88.0022964477539,223
2025-10-21,87.87999725341797,224
2025-10-22,88.00160217285156,225
2025-10-23,87.74030303955078,226
2025-10-24,87.77899932861328,227
2025-10-27,87.8290023803711,228
2025-10-28,88.22209930419922,229
2025-10-29,88.22550201416016,230
2025-10-30,88.34559631347656,231
2025-10-31,88.6344985961914,232
2025-11-03,88.77539825439453,233
2025-11-04,88.72339630126953,234
2025-11-05,88.73200225830078,235
2025-11-06,88.55690002441406,236
2025-11-07,88.6729965209961,237
2025-11-10,88.65799713134766,238
2025-11-11,88.70709991455078,239
2025-11-12,88.46649932861328,240
2025-11-13,88.59400177001953,241
2025-11-14,88.81610107421875,242
2025-11-17,88.68199920654297,243
2025-11-18,88.63590240478516,244
2025-11-19,88.55680084228516,245
2025-11-20,88.48719787597656,246
2025-11-21,88.69219970703125,247
2025-11-24,89.63400268554688,248
2025-11-25,89.14779663085938,249
2025-11-26,89.15059661865234,250
2025-11-27,89.16300201416016,251
2025-11-28,89.36479949951172,252
2025-12-01,89.3499984741211,253
2025-12-02,89.61270141601562,254
2025-12-03,89.91719818115234,255
2025-12-04,90.17050170898438,256
2025-12-05,89.8364028930664,257
